id,imagen,Nombre, Ocupación, Alianza, Origen, Años de Edad, Nombre de la Fruta, Poder de la Fruta, Recompensa,status
1,,Monkey D. Luffy, Capitán de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, East Blue,19, Gomu Gomu no Mi, Convertirse en goma,1500000000,1
2,,Roronoa Zoro, Espadachín de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, East Blue,21, N/A, N/A,320000000,1
3,,Nami, Navegante de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, East Blue,20, N/A, N/A,66000000,1
4,,Usopp, Francotirador de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, East Blue,19, N/A, N/A,200000000,1
5,,Sanji, Cocinero de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, North Blue,21, N/A, N/A,330000000,1
6,,Tony Tony Chopper, Médico de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, Grand Line (Drum Island),17, Hito Hito no Mi, Convertirse en humano,100,1
7,,Nico Robin, Arqueóloga de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, West Blue,30, Hana Hana no Mi, Crear partes de su cuerpo en cualquier superficie,130000000,1
8,,Franky, Carpintero de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, South Blue,36, N/A, N/A,94000000,1
9,,Brook, Músico de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, West Blue,90, Yomi Yomi no Mi, Resurrección,83000000,1
10,,Jinbe, Timonel de los Piratas de Sombrero de Paja, Piratas de Sombrero de Paja, Fish-Man Island,46, N/A, N/A,438000000,1
11,,Portgas D. Ace, Comandante de la 2ª división de los Piratas de Barbablanca, Piratas de Barbablanca, Grand Line,20, Mera Mera no Mi, Control del fuego,550000000,1
12,,Shanks, Capitán de los Piratas del Pelirrojo, Piratas del Pelirrojo, West Blue,39, N/A, N/A,4048900000,1
13,,Marshall D. Teach, Capitán de los Piratas de Barbanegra, Piratas de Barbanegra, Grand Line,40, Yami Yami no Mi, Control de la oscuridad,2247600000,1
